===== FAOR Charts =====

The following charts are sourced from the SACAA public AIP.

^ Code ^ Description                           ^ URL ^ Remarks ^
| STAR  | Arrival Chart - WIV 3C                 | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_WITBANK%204A%20RWY%2003_ARR-05.pdf|Chart]] | - |
| SID   | Departure Chart - APDAK 3A             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_APDAK%203A%20RWY%2003_DEP-02.pdf|Chart]] | - |
| SID   | Departure Chart - APDAK 2B             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_APDAK%202B%20RWY%2021_DEP-13_21%20AUG%202014.pdf|Chart]] | - |
| SID   | Departure Chart - EGMEN 2A             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_EGMEN%202A%20RWY%2003_DEP-01_10%20JAN%202013.pdf|Chart]] | - |
| SID   | Departure Chart - EGMEN 2B             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_EGMEN%202B%20RWY%2021_DEP-12_10%20JAN%202013.pdf|Chart]] | - |
| SID   | Departure Chart - EXOBI 1A             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_EXOBI%201A%20RWY%2003_DEP-08_10%20JAN%202013.pdf|Chart]] | - |
| SID   | Departure Chart - EXOBI 3B             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_EXOBI%203B%20RWY%2021_DEP-18_10%20JAN%202013.pdf|Chart]] | - |
| SID   | Departure Chart - GAV 5B               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_GRASMERE%205B%20RWY%2003_DEP-07_21%20AUG%202014.pdf|Chart]] | - |
| SID   | Departure Chart - GAV 6C               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_GRASMERE%206C%20RWY%2021_DEP-17_21%20AUG%202014.pdf|Chart]] | - |
| SID   | Departure Chart - HGV 5D               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_HEIDELBERG%205D%20RWY%2021_DEP-19_21%20AUG%202014.pdf|Chart]] | - |
| SID   | Departure Chart - LIV 1C               | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_LANSERIA%201C%20RWY%2021_DEP-20.pdf|Chart]] | - |
| SID   | Departure Chart - NESAN 1A             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_NESAN%201A%20RWY%2003_DEP-06%2010%20JAN%202013_TMA%20WKLF.pdf|Chart]] | - |
| SID   | Departure Chart - OVALA 1B             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_OVALA%201B%20RWY%2021_DEP-16_21%20AUG%202014.pdf|Chart]] | - |
| SID   | Departure Chart - RAGUL 3A             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_RAGUL%203A%20RWY%2003_DEP-04.pdf|Chart]] | - |
| SID   | Departure Chart - RAGUL 3B             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_RAGUL%203B%20RWY%2021_DEP-15_21%20AUG%202014.pdf|Chart]] | - |
| SID   | Departure Chart - VASUR 3A             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_VASUR%203A%20RWY%2003_DEP-03.pdf|Chart]] | - |
| SID   | Departure Chart - VASUR 3B             | [[https://caasanwebsitestorage.blob.core.windows.net/aeronautical-charts/FAOR_VASUR%203B%20RWY%2021_DEP-14.pdf|Chart]] | - |

The complete set of FAOR Official Charts can be found [[https://www.caa.co.za/industry-information/aeronautical-information-aeronautical-charts/|here]].


{{page>fa-footer#FAOR}}
